Primary Schools,Latitude,Longitude
St. Anthony's Canossian Primary School,1.334725373,103.9412349
St. Anthony's Primary School,1.334725373,103.9412349
St. Gabriel's Primary School,1.349471927,103.862561
St. Hilda's Primary School,1.34938565,103.9370071
St. Joseph's Institution Junior,1.31772861,103.8456119
St. Margaret's Primary School,1.324391503,103.8816248
St. Stephen's School,1.318789973,103.9172581
Stamford Primary School,1.303456385,103.8574535
Tampines North Primary School,1.36048786,103.9487689
Tampines Primary School,1.350486395,103.9435731
Tanjong Katong Primary School,1.30498489,103.9
Tao Nan School,1.294332105,103.8490262
Teck Ghee Primary School,1.365587821,103.8509571
Teck Whye Primary School,1.383649968,103.7532919
Telok Kurau Primary School,1.331045854,103.910934
Temasek Primary School,1.317706776,103.9455907
Townsville Primary School,1.360032637,103.853826
Unity Primary School,1.402854819,103.7468226
Waterway Primary School,1.398828006,103.9186216
Wellington Primary School,1.451920192,103.8223037
West Grove Primary School,1.344879056,103.6992864
West Spring Primary School,1.389441459,103.7661957
West View Primary School,1.383785465,103.7602734
Westwood Primary School,1.347184566,103.7005342
White Sands Primary School,1.365636109,103.9608618
Woodgrove Primary School,1.433103402,103.7906044
Woodlands Primary School,1.436582707,103.7917913
Woodlands Ring Primary School,1.434952293,103.7974357
Xinghua Primary School,1.357908936,103.8904729
Xingnan Primary School,1.342706397,103.6875885
Xinmin Primary School,1.371395489,103.8830808
Xishan Primary School,1.433471869,103.8377553
Yangzheng Primary School,1.348645758,103.8685955
Yew Tee Primary School,1.396766009,103.750986
Yio Chu Kang Primary School,1.377932643,103.8856437
Yishun Primary School,1.43338603,103.8340871
Yu Neng Primary School,1.333889303,103.9321449
Yuhua Primary School,1.342802305,103.7411058
Yumin Primary School,1.351315699,103.9505511
Zhangde Primary School,1.284211533,103.8259519
Zhenghua Primary School,1.379548875,103.7693135
Zhonghua Primary School,1.360260725,103.8697125
Valour Primary School,1.406835702,103.8990781
Northshore Primary School,1.418138033,103.9044169
